<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.10	136.04	144.52	134.59	142.62	33776	0	150
2020.01.13	143.72	146.21	141.40	143.45	21536	0	150
2020.01.14	143.46	169.89	142.76	163.49	62428	0	150
2020.01.15	163.44	171.05	158.41	164.50	67980	0	150
2020.01.16	164.49	166.48	157.89	162.44	51323	0	150
2020.01.17	162.62	173.31	161.31	170.13	59513	0	150
2020.01.20	165.09	166.92	160.43	166.24	38446	0	150
2020.01.21	166.19	169.06	164.02	168.17	31448	0	150
2020.01.22	168.24	170.23	165.01	166.77	32418	0	150
2020.01.23	166.74	167.08	158.11	161.48	45741	0	150
2020.01.24	161.49	163.50	154.43	162.36	38213	0	150
2020.01.27	166.27	170.99	164.16	170.43	42749	0	150
2020.01.28	170.42	173.59	168.58	171.33	36015	0	150
2020.01.29	171.66	177.79	171.18	174.91	40529	0	0
2020.01.30	174.99	184.26	169.81	184.12	42991	0	150
2020.01.31	184.22	185.98	174.44	179.91	40756	0	150
2020.02.03	190.31	194.29	185.79	188.66	43264	0	150
2020.02.04	188.71	190.58	183.69	186.67	38588	0	150
2020.02.05	186.66	207.02	186.41	205.93	39410	0	150
2020.02.06	206.03	215.37	200.48	212.60	54153	0	150
2020.02.07	212.58	223.48	210.06	218.76	59537	0	150
2020.02.10	224.76	228.86	216.14	221.81	55387	0	150
2020.02.11	221.79	238.79	217.17	236.63	53494	0	150
2020.02.12	236.87	275.13	235.67	269.55	80425	0	150
2020.02.13	269.99	277.11	255.65	262.07	95867	0	150
2020.02.14	261.92	284.90	259.47	281.98	77220	0	150
2020.02.17	251.12	262.64	241.96	259.47	102062	0	150
2020.02.18	259.41	285.68	258.56	280.53	88254	0	150
2020.02.19	279.72	286.09	251.06	261.63	86450	0	150
2020.02.20	261.21	265.94	244.94	258.61	114544	0	150
2020.02.21	258.62	267.67	253.58	262.22	75601	0	150
2020.02.24	271.11	277.26	256.17	261.19	69829	0	150
2020.02.25	261.21	265.78	244.00	249.56	77322	0	150
2020.02.26	249.55	252.24	214.70	223.06	96775	0	150
2020.02.27	223.07	237.55	209.11	225.43	97490	0	150
2020.02.28	225.40	233.75	213.03	225.60	99065	0	150
2020.03.02	214.12	233.71	214.03	232.26	68557	0	150
2020.03.03	231.98	232.38	219.39	223.14	57704	0	150
2020.03.04	223.09	227.43	219.77	222.16	47642	0	150
2020.03.05	222.17	233.63	222.09	230.36	49834	0	150
2020.03.06	230.14	240.96	226.10	240.21	56637	0	150
2020.03.09	208.76	210.57	189.18	197.64	128383	0	150
2020.03.10	197.63	205.49	194.45	202.26	78419	0	150
2020.03.11	202.27	202.79	180.95	192.01	77146	0	150
2020.03.12	192.02	195.00	123.34	127.87	129580	0	150
2020.03.13	127.77	143.66	87.73	128.05	155880	0	200
2020.03.16	119.97	132.72	99.78	108.83	93495	0	0
2020.03.17	108.85	120.61	106.62	118.61	45370	0	150
2020.03.18	118.62	119.88	109.56	115.86	38779	0	150
2020.03.19	115.87	140.77	114.45	136.84	41129	0	150
2020.03.20	136.87	152.69	115.25	124.46	46257	0	150
2020.03.23	124.20	137.35	118.75	131.69	40450	0	150
2020.03.24	131.68	143.48	130.64	139.14	40877	0	150
2020.03.25	139.13	142.19	132.32	135.10	36615	0	150
2020.03.26	134.79	138.23	132.91	136.01	52203	0	150
2020.03.27	136.00	140.95	133.99	136.72	45162	0	150
2020.03.30	124.89	134.15	123.33	133.39	41981	0	150
2020.03.31	133.52	134.76	129.74	134.02	40013	0	150
2020.04.01	134.43	134.45	128.25	131.37	34245	0	150
2020.04.02	131.43	148.98	131.10	139.93	62527	0	150
2020.04.03	139.53	146.14	137.24	139.99	61348	0	150
2020.04.06	141.54	166.77	141.28	163.36	73531	0	150
2020.04.07	163.00	175.75	161.55	162.79	86204	0	150
2020.04.08	162.37	173.92	161.93	171.38	76448	0	150
2020.04.09	171.61	173.10	164.63	169.68	60416	0	150
2020.04.10	169.71	170.41	151.69	157.97	77513	0	150
2020.04.13	162.87	163.98	149.13	155.94	77619	0	150
2020.04.14	156.45	161.40	154.98	158.25	63396	0	150
2020.04.15	158.23	160.76	154.43	156.89	28520	0	150
2020.04.16	156.90	173.90	147.50	171.76	35763	0	150
2020.04.17	171.89	174.46	167.73	170.28	27630	0	150
2020.04.20	181.02	185.90	165.92	171.08	33510	0	150
2020.04.21	170.50	174.18	167.66	171.98	32399	0	150
2020.04.22	171.98	183.58	169.31	182.32	26026	0	150
2020.04.23	181.80	193.44	177.71	188.28	28553	0	150
2020.04.24	188.27	190.25	182.56	187.56	25253	0	150
2020.04.27	196.70	198.70	188.87	193.01	40570	0	150
2020.04.28	193.03	197.18	191.74	195.69	40249	0	150
2020.04.29	195.75	218.75	195.21	216.16	43416	0	150
2020.04.30	216.11	226.72	201.61	210.89	50666	0	150
2020.05.01	210.96	216.86	204.57	208.80	45408	0	150
2020.05.04	206.66	210.91	194.38	206.47	45697	0	150
2020.05.05	206.74	211.43	200.58	204.24	43782	0	150
2020.05.06	204.32	210.51	201.32	204.82	43949	0	150
2020.05.07	204.66	214.60	195.98	211.06	44330	0	150
2020.05.08	211.02	216.27	206.43	213.53	44449	0	150
2020.05.11	188.15	193.01	175.67	186.06	48840	0	150
2020.05.12	186.65	191.68	183.11	188.88	45271	0	150
2020.05.13	188.89	198.69	186.28	197.49	41139	0	150
2020.05.14	197.51	205.46	195.03	202.01	45124	0	150
2020.05.15	202.02	203.84	190.77	192.65	48357	0	150
2020.05.18	207.26	216.23	205.39	212.17	61910	0	0
2020.05.19	212.18	215.08	208.58	211.88	37948	0	150
2020.05.20	211.82	214.76	204.82	209.77	37214	0	150
2020.05.21	209.81	210.79	190.64	198.16	39980	0	150
2020.05.22	198.07	208.53	195.38	207.97	45625	0	150
2020.05.25	205.70	207.19	197.25	204.18	40700	0	150
2020.05.26	204.17	204.30	196.05	201.45	39673	0	150
2020.05.27	201.48	207.02	199.60	205.74	37618	0	150
2020.05.28	205.75	214.92	203.79	213.84	39982	0	150
2020.05.29	213.84	224.06	212.85	219.33	41703	0	150
2020.06.01	234.30	241.89	228.91	241.03	46501	0	150
2020.06.02	241.05	252.59	225.36	235.76	45293	0	150
2020.06.03	235.75	242.24	232.59	240.94	43668	0	150
2020.06.04	241.00	245.94	235.41	240.90	43074	0	150
2020.06.05	240.93	247.25	238.42	240.05	45736	0	150
2020.06.08	241.27	244.81	240.28	241.68	41575	0	150
2020.06.09	241.67	249.29	233.12	242.79	37531	0	150
2020.06.10	242.88	249.72	241.50	247.11	37633	0	150
2020.06.11	247.12	249.37	224.66	231.63	43628	0	150
2020.06.12	231.60	238.64	227.26	237.08	42353	0	150
2020.06.15	233.33	233.46	217.28	231.95	44315	0	150
2020.06.16	231.82	235.18	228.08	232.94	39199	0	150
2020.06.17	232.90	236.45	226.93	230.27	36646	0	150
2020.06.18	229.80	233.69	227.19	228.07	34665	0	150
2020.06.19	228.05	231.78	225.72	228.34	35815	0	150
2020.06.22	228.22	244.33	226.23	244.01	39302	0	150
2020.06.23	243.99	246.13	239.95	242.64	39326	0	150
2020.06.24	242.65	248.46	230.12	233.99	39368	0	150
2020.06.25	233.98	234.76	226.45	232.83	36960	0	150
2020.06.26	232.00	234.04	226.67	229.73	38463	0	150
2020.06.29	224.12	227.25	220.23	226.60	37033	0	150
2020.06.30	226.87	229.12	222.12	224.75	50301	0	150
2020.07.01	224.89	232.11	223.35	230.66	56583	0	150
2020.07.02	230.67	231.49	222.36	225.55	60150	0	150
2020.07.03	225.53	227.55	224.64	226.10	51670	0	150
2020.07.06	224.23	240.04	222.79	237.51	73619	0	150
2020.07.07	237.52	243.09	233.63	237.81	122468	0	150
2020.07.08	237.79	248.26	236.39	245.60	136668	0	150
2020.07.09	245.61	247.66	237.26	240.54	129345	0	150
2020.07.10	240.51	241.39	234.90	238.51	105110	0	150
2020.07.13	237.93	244.39	236.55	238.13	118029	0	0
2020.07.14	238.07	241.30	236.22	240.63	108092	0	150
2020.07.15	240.51	240.77	235.92	237.31	99948	0	150
2020.07.16	237.31	238.46	229.18	231.94	107707	0	150
2020.07.17	231.97	233.82	230.80	231.68	95303	0	150
2020.07.20	235.07	239.16	233.36	235.66	97465	0	150
2020.07.21	235.75	246.21	234.78	244.49	102263	0	150
2020.07.22	244.71	245.46	240.94	245.14	98506	0	150
2020.07.23	245.15	279.56	244.80	272.47	153687	0	0
2020.07.24	272.46	286.26	267.71	285.11	159381	0	150
2020.07.27	309.17	329.02	309.08	323.62	224754	0	150
2020.07.28	323.60	333.16	305.60	319.13	218567	0	150
2020.07.29	319.06	324.53	312.26	321.95	186696	0	150
2020.07.30	323.11	341.81	313.78	337.93	171743	0	150
2020.07.31	337.96	347.41	328.06	345.02	176026	0	150
2020.08.03	374.66	397.53	366.53	390.16	228897	0	150
2020.08.04	390.16	402.61	379.87	387.37	234344	0	150
2020.08.05	387.33	401.42	383.68	399.90	215863	0	150
2020.08.06	399.93	406.92	391.88	396.04	131913	0	150
2020.08.07	396.07	397.86	363.10	376.78	161670	0	150
2020.08.10	392.56	399.39	384.61	394.43	132146	0	150
2020.08.11	394.42	397.83	365.29	372.37	152088	0	150
2020.08.12	370.61	388.89	365.52	385.66	106460	0	150
2020.08.13	385.51	412.38	375.92	409.82	91771	0	150
2020.08.14	409.91	444.13	409.61	437.86	101652	0	150
2020.08.17	429.84	446.49	419.78	437.53	98697	0	150
2020.08.18	435.15	439.35	413.43	426.52	91004	0	150
2020.08.19	421.61	428.87	392.99	403.57	105142	0	150
2020.08.20	403.58	417.75	401.62	415.32	83590	0	150
2020.08.21	415.34	418.74	393.72	395.52	90173	0	150
2020.08.24	392.32	408.07	386.97	400.67	66655	0	150
2020.08.25	400.15	409.76	369.20	376.87	82629	0	150
2020.08.26	376.90	392.83	376.76	389.05	67926	0	150
2020.08.27	389.05	396.65	370.54	379.00	75706	0	150
2020.08.28	379.04	397.51	378.18	393.05	57939	0	150
2020.08.31	422.01	438.41	417.28	431.41	71008	0	150
2020.09.01	431.46	485.25	428.88	481.55	87645	0	150
2020.09.02	481.55	488.18	420.60	435.74	106694	0	150
2020.09.03	435.68	450.22	390.95	405.68	119218	0	150
2020.09.04	405.68	406.98	358.45	390.64	117845	0	150
2020.09.07	351.24	359.67	322.36	344.38	112571	0	150
2020.09.08	345.08	356.05	330.22	334.97	104333	0	150
2020.09.09	334.97	358.42	324.66	352.51	95028	0	150
2020.09.10	352.54	376.96	349.49	364.89	108955	0	150
2020.09.11	364.41	371.98	355.11	367.68	84298	0	150
2020.09.14	361.10	383.89	355.08	375.35	97746	0	150
2020.09.15	375.35	381.77	361.76	364.95	93304	0	150
2020.09.16	363.31	372.88	354.25	365.20	85913	0	150
2020.09.17	365.20	393.69	362.59	391.58	102495	0	150
2020.09.18	391.76	393.46	374.69	380.34	85233	0	150
2020.09.21	368.23	375.92	330.42	345.71	102521	0	150
2020.09.22	345.89	348.77	334.68	344.25	88425	0	150
2020.09.23	344.25	346.14	312.75	322.21	76785	0	150
2020.09.24	321.50	348.39	315.88	344.94	93220	0	150
2020.09.25	344.91	357.33	336.75	353.87	85533	0	150
2020.09.28	352.44	367.49	351.61	362.10	76256	0	150
2020.09.29	362.17	363.32	349.29	356.91	71803	0	150
2020.09.30	357.32	359.82	350.60	355.99	66042	0	150
2020.10.01	356.36	369.47	344.54	350.84	77353	0	150
2020.10.02	350.66	353.49	333.54	345.41	85508	0	150
2020.10.05	351.46	355.34	347.90	351.15	51229	0	150
2020.10.06	351.14	354.60	335.84	336.67	53960	0	150
2020.10.07	336.91	342.22	332.29	340.07	63790	0	150
